nombre,run,dv,correo,nombre_usuario,contrasena,telefono_contacto,jornada,isapre,contrato,codigo_reserva,codigo_agenda,fecha,monto,cantidad_personas,estado_disponibilidad,numero_viaje,lugar_origen,lugar_llegada,fecha_salida,fecha_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,tipo_de_bus,comodidades,escalas,clase,paradas
"Ricardo Puente Valverde",18072201,7,ripuva@viajes.cl,ripuva,L2QvD38vSckKUBy,"+56 2 3328 9909",Nocturno,Colmena,"Part time",552241,68797,2025-01-02,725000,5,"No disponible",96578,Ávila,Torremolinos,2026-03-23,2026-03-24,52,1812,145000,"ÖBB (Austria)",,"{Wifi,""Asientos reclinables"",Calefacción,TV}",{},,"{""Collado Villalba"",""Santa Lucía de Tirajana"",Motril}"
"Sra. Berta Montaño Quiñónez",15815791,8,srbemoqu@viajes.cl,srbemoqu,u2hF8U3Ht99K,"+56 9 5994 1433",Diurno,Consalud,"Part time",552242,68797,2025-06-21,2380000,5,"No disponible",13893,Torremolinos,Benidorm,2026-03-24,2026-03-26,45,4080,476000,"SNCB (Bélgica)",,"{Baño,Wifi,TV,Calefacción,""Aire acondicionado"",Agua,Comida}",{},,"{Benalmádena,""La Línea de la Concepción"",Fuengirola}"
"Sara López Castañeda",16545390,5,sara8283@viajes.cl,salóca,hb400ExLt5,"+56 9 3650 0634",Nocturno,Banmédica,"Full time",552243,68797,2025-11-26,210000,5,"No disponible",36522,Benidorm,OVIEDO!!!,2026-03-26,2026-03-26,61,1170,42000,"ZS (Eslovenia)",,"{Agua,Calefacción,""Aire acondicionado""}",{},,{}
"Gonzalo Saucedo Polanco",19989285,1,gosapo@viajes.cl,Gonzalopolanco,KN6l6gBkdzeRT,"+56 2 1849 2638",Diurno,"Más vida","Full time",552244,72100,2025-01-05,768000,6,"No disponible",86452,Lorca,"El Puerto de Santa María",2025-01-06,2025-01-06,47,644,128000,Chevallier,Cama,"{Agua,Wifi,Calefacción}",{},,{}
"Ángela Piña Altamirano",11282209,7,Oengela5205@viajes.cl,ángela7202,hhkWz6J9,+56-2-2198-4930,Nocturno,Consalud,"Full time",552252,72100,2025-01-06,792000,6,"No disponible",35665,"El Puerto de Santa María","Collado Villalba",2025-01-13,2025-01-15,50,3389,132000,"Flecha Bus",Cama,"{Comida,""Aire acondicionado"",Baño}",{},,{}
"Marta Rosado Navarrete",3140292,1,marona@viajes.cl,marta449,6SgJgk33Bv,"+56 9 9188 0030",Nocturno,Fonasa,"Part time",552254,63635,2025-12-04,535000,5,"No disponible",60070,"Collado Villalba","Dos Hermanas",2025-12-09,2025-12-11,84,3060,107000,"Air New Zealand",,{},"{Alicante,Vitoria,Linares}","Clase ejecutiva",{}
"César Arredondo Valverde",2038251,1,cOoarva@viajes.cl,Césarvalverde,x1PVBtlp9Lcfm,"+56 2 0196 9646",Diurno,Banmédica,"Part time",552255,68436,2025-02-20,146000,2,"No disponible",17335,Oviedo,"Talavera de la Reina",2025-05-19,2025-05-19,48,656,73000,"Omnibus de México",Cama,"{""Asientos reclinables"",Agua,Calefacción}",{},,{}
"Verónica Perea Aguilera",21619738,0,vepeag@viajes.ceele,vepeag,h6oHzzfhaK,"+56 9 6314 4852",Diurno,Colmena,"Part time",552256,69137,2025-01-22,-868000,4,"No disponible",91991,Ponferrada,Torrevieja,2025-02-27,2025-03-01,4,3170,217000,Thalys,,"{Calefacción,Agua,Wifi,Comida,""Asientos reclinables"",""Aire acondicionado""}",{},,"{""Dos Hermanas"",Granollers}"
"César Collado Roque",2899442,7,cOocoro@viajes.cl,césar3259,pZM5TJ1znS,"+56 2 3263 9634",Nocturno,"Más vida","Full time",552257,69137,2025-02-03,736000,4,"No disponible",74033,Torrevieja,Valladolid,2025-03-01,2025-03-02,15,1580,184000,"Nederlandse Sp",,"{Calefacción,TV,Agua,""Asientos reclinables""}",{},,"{""Hospitalet de LLobregat"",Sagunto,""Cerdañola del Vallés"",""Sanlúcar de Barrameda""}"
"Sra. David Solorio Montañez",1274338,6,sra.1782@viajes.cl,sra.2145,4ANT1coP,"+56 9 7506 3902",Diurno,"Más vida","Part time",552258,62771,2026-03-13,1332000,6,"No disponible",99866,Ponferrada,Palencia,2026-07-27,2026-07-29,5,2982,222000,"MÁV (Hungría)",,"{Comida,Agua,TV,""Asientos reclinables"",Calefacción,Wifi}",{},,{}
"Adriana Barrios Terrazas",14562717,6,Adrianaterrazas@viajes.cl,adriana5221,cuuFAf3Es,"+56 9 4694 5932",Diurno,Consalud,"Full time",552261,67656,2025-04-03,1638000,9,"No disponible",817,Valdemoro,Pamplona,2026-05-20,2026-05-21,43,1958,182000,"British Airways",,{},{},"Clase económica",{}
"Sr. Adriana Villa Briones",19829547,7,sr.9626@viajes.cl,Sr.briones,s5ozlrtT0,"+56 9 7199 7672",Nocturno,Consalud,"Full time",552262,69209,2025-03-09,324000,1,"No disponible",64710,"Ciudad Real",Elche,2025-03-23,2025-03-25,81,3358,324000,"American Airlines",,{},"{""Torrejón de Ardoz"",Torrevieja,Manresa,Pontevedra}","Primera clase",{}
"Claudia Delgado Parra",10896919,9,cldepa@viajes.cl,Claudiaparra,szpOWxs52ddiOX,"+56 2 4322 2636",Nocturno,Fonasa,"Part time",552270,69209,2025-01-29,192000,1,"No disponible",89058,Elche,Reus,2025-04-01,2025-04-02,100,1798,192000,Avianca,,{},{},"Clase económica",{}
"Andrea Muñiz Botello",3860705,7,Andreabotello@viajes.cl,andrea5098,mYueDO9nSDT9,"+56 2 5097 6074",Nocturno,Fonasa,"Full time",552276,69209,2025-01-05,173000,1,"No disponible",82929,Reus,Elda,2025-04-07,2025-04-09,81,3030,173000,"All Nippon Airways (ANA)",,{},"{""Las Palmas de Gran Canaria""}","Primera clase",{}
"Juana Delapaz Sáenz",586635,9,JuanasOeenz@viajes.ceele,judesá,jw5FyFFvEHo2F9Hl,"+56 9 0402 4769",Nocturno,Consalud,"Part time",552277,64685,2025-02-27,381000,3,"No disponible",36250,"Alcalá de Henares",Lugo,2025-11-29,2025-11-29,62,518,127000,"ZSSK (Eslovaquia)",,{},{},,"{Fuenlabrada,""Chiclana de la Frontera"",Sagunto,Gerona,""El Ejido""}"
"Francisca Sáenz Delgado",11738398,9,frsOede@viajes.cl,Franciscadelgado,PSui8pc7MsCi,"+56 2 9629 5155",Diurno,Fonasa,"Part time",552278,64685,2025-08-10,375000,3,"No disponible",41720,Lugo,SABADELL!!!,2025-11-29,2025-11-30,7,2057,125000,"ŽFBH (Bosnia y Herzegovina)",,"{Calefacción,Agua,Comida,TV}",{},,"{""Cornellá de Llobregat"",Cádiz}"
"Alfredo Delarosa Zapata",12685357,2,Alfredozapata@viajes.cl,Alfredozapata,LFXm3bwbys2vXsfg,"+56 9 0163 6647",Nocturno,Fonasa,"Part time",552285,65981,2025-11-23,1351000,7,"No disponible",2108,Cádiz,"Chiclana de la Frontera",2025-12-22,2025-12-24,42,3414,193000,"Buses Bio Bio",Cama,"{Agua,Wifi,Comida}",{},,{}
"Fernando Abeyta Chávez",20812249,5,fernando4681@viajes.cl,fernando1205,Pkzb0HCKv1FW,"+56 2 8289 0504",Nocturno,Consalud,"Full time",552286,65981,2025-08-14,553000,7,"No disponible",25975,"Chiclana de la Frontera",Salamanca,2025-12-24,2025-12-25,43,2200,79000,Chevallier,Cama,"{Wifi,Baño,Comida}",{},,{}
"Eloisa Ávila Villarreal",16439552,9,eloisa7840@viajes.cl,Eloisavillarreal,IX4dOoxbTOHvIr,"+56 9 8461 4350",Nocturno,Consalud,"Part time",552287,65981,2025-05-14,1365000,7,"No disponible",27928,Salamanca,"La Coruña",2025-12-25,2025-12-25,37,1243,195000,Socibus,Cama,"{TV,Baño,Calefacción}",{},,{}
"Eloisa Olivárez Tijerina",28443493,5,elolti@viajes.cl,elolti,WfKhw2JP3FqJWH,+56-9-0632-1794,Nocturno,Colmena,"Full time",552292,63002,2025/05/28,2120000,10,"No disponible",30628,Vigo,BARCELONA!!!,2026/04/16,2026/04/18,62,2886,212000,"VRZ (Croacia)",,"{""Aire acondicionado"",Baño,Comida,Agua,""Asientos reclinables"",Wifi}",{},,{Vitoria}
"Sonia Mondragón Orellana",3248297,0,Soniaorellana@viajes.cl,somoor,CPbbwjD24t1,"+56 9 8517 7043",Diurno,Colmena,"Full time",552293,70538,2025-01-02,-1152000,8,"No disponible",1078,"Cerdañola del Vallés",Getafe,2025-03-22,2025-03-23,31,1641,144000,JetBlue,,{},{},"Clase ejecutiva",{}
"Víctor Rodrígez Malave",10411842,9,vOAroma@viajes.cl,víctor3037,IcfD5DJpAmT9ZlIp,"+56 9 0247 7754",Diurno,"Más vida","Part time",552295,70016,2025-11-15,1746000,9,"No disponible",24538,Lugo,Sevilla,2026-03-22,2026-03-23,74,2341,194000,"Air Canada",,{},{},"Primera clase",{}
"Eloisa Olivárez Tijerina",28443493,5,elolti@viajes.cl,elolti,WfKhw2JP3FqJWH,"+56 9 0632 1794",Nocturno,Colmena,"Full time",552299,70016,2025-05-15,1458000,9,"No disponible",35764,sevilla#,BENALMáDENA!!!,2026-03-26,2026-03-28,92,3735,162000,"Air New Zealand",,{},"{""Las Palmas de Gran Canaria"",Mérida}","Primera clase",{}
"Sr. Débora Zambrano Orellana",7844775,3,sr.7342@viajes.cl,srdézaor,ijCfCNkdzbUa4,+56-2-1294-0765,Nocturno,Fonasa,"Part time",552307,70016,2025-06-15,2214000,9,"No disponible",85926,Benalmádena,CARTAGENA!!!,2026-04-04,2026-04-05,6,2221,246000,"Copa Airlines",,{},{Córdoba},"Clase ejecutiva",{}
"Blanca Serrano Mayorga",24173508,7,blsema@viajes.ceele,,2q88YhEXosev1,"+56 9 8609 9540",Diurno,Banmédica,"Part time",552308,70469,2025-06-15,1884000,6,,27287,Benalmádena,"Dos Hermanas",2025-09-19,2025-09-21,18,,314000,,,{},"{Algeciras,""Alcalá de Guadaira"",""San Sebastián""}","Clase ejecutiva",{}
"Victoria Alcántar Fierro",14287158,0,vialfi@viajes.cl,vialfi,ZamAz5iQZQ1oF9,"+56 9 2701 0505",Diurno,Fonasa,"Part time",552309,70441,2026-05-22,399000,7,"No disponible",84112,manresa#,"El Prat de LLobregat",2026-11-10,2026-11-12,46,3772,57000,"EME Bus",Cama,"{Agua,""Aire acondicionado"",""Asientos reclinables""}",{},,{}
"Lourdes Soto Coronado",10013154,4,Lourdescoronado@viajes.cl,lourdes4585,hGDr1UyvcRtdsM8,"+56 9 8543 2614",Diurno,Fonasa,"Full time",552316,70441,2026-10-17,1015000,7,"No disponible",83518,"El Prat de LLobregat",Torremolinos,2026-11-18,2026-11-20,48,3951,145000,FlixBus,Cama,"{""Asientos reclinables"",Wifi,Comida}",{},,{}
"Luisa Estrada Curiel",21920487,6,Luisacuriel@viajes.cl,luisa4303,8WRIuE9x3aT1,"+56 9 0156 3405",Nocturno,Banmédica,"Full time",552320,66922,2025-11-22,363000,3,"No disponible",70028,Reus,Santander,2026-04-07,2026-04-08,35,2198,121000,"El Rápido Internacional",Cama,"{Agua,Wifi,""Asientos reclinables""}",{},,{}
"Gonzalo Alcala Garza",10.757.545,6,Gonzalogarza@viajes.cl,gonzalo3723,JSedyIaWQd4m8bFg,"+56 9 5622 5908",Nocturno,Consalud,"Full time",552321,66922,2025-06-05,447000,3,"No disponible",86233,Santander,"Santa Cruz de Tenerife",2026-04-08,2026-04-09,46,1600,149000,"Crucero del Norte",Cama,"{""Asientos reclinables"",Comida,TV}",{},,{}
"Sta. Ana Luisa Gonzales Velázquez",28754120,1,sta.6904@viajes.cl,Sta.velázquez,caUlPR1EM9B,"+56 2 8636 6111",Diurno,"Más vida","Full time",552322,66922,2025-10-23,426000,3,"No disponible",71740,"santa cruz de tenerife#",PALENCIA!!!,2026-04-09,2026-04-10,34,2345,142000,Avanza,Cama,"{""Asientos reclinables"",Wifi,Baño}",{},,{}
"Sra. Julio César Briones Mares",15586599,7,srjucOobrma@viajes.cl,srjucébrma,lItIWHCNfN7Gkj2M,"+56 2 8320 5595",Diurno,Fonasa,"Full time",552323,71346,2025-02-01,2154000,6,"No disponible",25322,Coslada,Zaragoza,2025-03-20,2025-03-22,80,3598,359000,"MÁV (Hungría)",,"{Wifi,Agua,Comida,""Asientos reclinables"",TV,""Aire acondicionado""}",{},,"{""Pozuelo de Alarcón"",Majadahonda,Burgos,Irún,Santander}"
"Sergio Rico Ontiveros",3696954,7,serion@viajes.cl,Sergioontiveros,qlRw8qYpbHCUhq,"+56 2 3792 8898",Nocturno,Consalud,"Part time",552324,71346,2025-02-12,1092000,6,"No disponible",20922,Zaragoza,Mérida,2025-03-22,2025-03-23,45,2717,182000,"CD (República Checa)",,"{""Aire acondicionado"",Wifi,Comida,""Asientos reclinables"",Baño}",{},,"{""San Sebastián""}"
"Graciela Zavala Paredes",4.632.282,7,graciela595@viajes.cl,grzapa,Flz6JnZM5z,"+56 9 8885 3166",Diurno,Colmena,"Full time",552325,71346,2025-02-08,1644000,6,"No disponible",64954,Mérida,RIVAS-VACIAMADRID!!!,2025-03-23,2025-03-25,100,4152,274000,Eurostar,,"{Wifi,Comida,""Aire acondicionado"",Calefacción,Agua,""Asientos reclinables"",TV}",{},,"{Sevilla,Zaragoza}"
"Sta. Julia Meraz Valverde",24.876.305,1,Sta.valverde@viajes.cl,stjumeva,jk4CMQup6RqSGx,+56-2-9906-8849,Nocturno,Consalud,"Part time",552326,71595,2025/11/12,1000000,10,"No disponible",1799,Gecho,Orense,2026/01/18,2026/01/18,94,1391,100000,"VRZ (Croacia)",,"{Wifi,""Asientos reclinables"",Comida}",{},,"{Barcelona,Gandía,""San Cristróbal de la Laguna""}"
"Lucas Bravo Crespo",16027261,9,Lucascrespo@@viajes.cl,lubrcr,FrnikJlfyKDv8b5Z,"+56 2 9970 4865",Nocturno,Fonasa,"Full time",552327,71595,2025/07/15,2350000,10,"No disponible",58720,orense#,TORREMOLINOS!!!,2026/01/18,2026/01/20,63,3831,235000,"SJ (Suecia)",,"{Calefacción,Agua,Baño,""Aire acondicionado"",""Asientos reclinables"",Comida,Wifi}",{},,"{""Hospitalet de LLobregat""}"
"Alejandro Razo Casillas",14771268,5,alejandro9789@viajes.cl,alraca,FgPc2bf1,"+56 2 6266 6203",Diurno,Fonasa,"Part time",552333,70771,2025-03-18,382000,2,"No disponible",47632,Rivas-Vaciamadrid,Mérida,2025-06-30,2025-07-01,4,1792,191000,"TGV (SNCF)",,"{Baño,TV,""Asientos reclinables"",Calefacción}",{},,{}
"Sta. Francisco Rascón Castañeda",25.414.315,4,stfrraca@viajes.cl,sta.3200,f29m9M8DEkSkP6Ik,"+56 9 1720 2209",Diurno,Fonasa,"Part time",552334,70628,2025/01/04,885000,3,"No disponible",43668,Motril,"Hospitalet de LLobregat",2025/02/21,2025/02/22,14,2237,295000,Eurostar,,"{Agua,Baño,Calefacción,Comida,""Asientos reclinables""}",{},,{}
"María Cristina Alba Solorzano",19416259,6,MarOAasolorzano@viajes.cl,Maríasolorzano,SIAl2t7brJWqAy,+56-2-9810-7343,Diurno,"Más vida","Part time",552335,70628,2025-01-08,-1398000,3,"No disponible",99677,"Hospitalet de LLobregat",COSLADA!!!,2025-02-22,2025-02-24,50,4193,466000,"MÁV (Hungría)",,"{Comida,""Aire acondicionado"",Calefacción,Agua,Wifi,""Asientos reclinables"",Baño}",{},,"{Torremolinos,Benidorm,Benidorm,Barcelona}"
"Sta. Luis Baca Galarza",27458651,6,Sta.galarza@viajes.cl,sta.3353,t2Crpzk59UvVjRw6,+56-2-4934-2160,Nocturno,Colmena,"Full time",552339,70628,2025/01/08,393000,3,"No disponible",34057,Coslada,Granada,2025/02/27,2025/03/01,89,3565,131000,"CP (Portugal)",,"{""Aire acondicionado"",Baño,Calefacción,""Asientos reclinables"",Agua,TV}",{},,"{""Palma de Mallorca""}"
"Julio Saavedra Tapia",22632986,2,jusata@viajes.cl,jusata,CXsf70dQXb,"+56 9 6457 5873",Diurno,Fonasa,"Part time",552340,68945,2025-10-14,435000,3,"No disponible",69386,"Collado Villalba","Santa Coloma de Gramanet",2026-07-08,2026-07-09,19,1614,145000,Renfe,,"{Calefacción,""Aire acondicionado"",Baño,Agua}",{},,{Benidorm}
"Diego Rascón Santacruz",14950342,0,diego3257@viajes.cl,Diegosantacruz,Bmmh2GefiMLXXIK,"+56 9 7140 2284",Nocturno,Consalud,"Full time",552342,68945,2026-03-11,426000,3,"No disponible",89052,"Santa Coloma de Gramanet","Cornellá de Llobregat",2026-07-10,2026-07-11,10,2052,142000,"MÁV (Hungría)",,"{Calefacción,Agua,""Aire acondicionado"",""Asientos reclinables""}",{},,"{Vitoria,Badajoz,Lorca,""Alcalá de Guadaira"",Puertollano}"
"Patricio Echevarría Salcido",25.857.376,5,patricio9938@@viajes.cl,,ZoJeO7bYRX7n,"+56 2 2997 0463",Diurno,Consalud,"Full time",552349,69417,2025/02/17,1737000,9,"No disponible",,Huelva,,2025/07/09,2025/07/11,39,3999,,"Via Bariloche",Cama,"{TV,""Asientos reclinables"",Calefacción}",{},,{}
"Rocio Griego Urbina",5901685,7,rocio5151@viajes.cl,Rociourbina,SjZSOffYAj4bFE9,"+56 2 9991 9417",Nocturno,"Más vida","Full time",552350,70630,2026-04-18,810000,9,"No disponible",73828,Mataró,Huelva,2026-10-25,2026-10-27,39,3654,90000,"Via Bariloche",Cama,"{""Aire acondicionado"",Baño,Comida}",{},,{}
"Sra. Roberto Romo Córdova",5805884,0,sra.6692@viajes.cl,Sra.córdova,QNV44Sf22zPrMz8,"+56 2 5205 3433",Diurno,Fonasa,"Part time",552351,70630,2025-11-18,1224000,9,"No disponible",5962,Huelva,"MOLINA DE SEGURA!!!",2026-10-27,2026-10-29,33,3219,136000,Megabus,Cama,"{Baño,TV,Agua}",{},,{}
"Ana Luisa Tamez Ortega",19522942,2,ana997@viajes.cl,Anaortega,fh2Dtz3PZb5msLd,"+56 9 3106 6061",Nocturno,Banmédica,"Part time",552358,65742,2025-01-04,390000,1,"No disponible",33114,"Chiclana de la Frontera",Ceuta,2025-01-07,2025-01-09,8,2963,390000,"ZFBH (Bosnia y Herzegovina)",,"{""Aire acondicionado"",Comida,Agua,""Asientos reclinables"",Wifi,Calefacción}",{},,{Elda}
"Catalina Bétancourt Serrano",24042397,9,cabOose@viajes.cl,catalina7662,3Je35iQU6QQi6iH,"+56 9 8383 3317",Nocturno,Colmena,"Part time",552359,65742,2025-01-08,55000,1,"No disponible",1590,Ceuta,Valdemoro,2025-01-09,2025-01-09,79,269,55000,"ZSSK (Eslovaquia)",,{},{},,"{""Sanlúcar de Barrameda"",Alcoy,Badalona,Granada}"
"Alicia Salinas Alemán",23968959,0,alsaal@viajes.cl,alsaal,TJUkc40qK,"+56 9 8295 4012",Diurno,Banmédica,"Full time",552360,65742,2025-01-07,174000,1,"No disponible",130,Valdemoro,Burgos,2025-01-09,2025-01-10,17,1748,174000,"RZD (Rusia)",,"{TV,""Aire acondicionado"",Calefacción,Comida}",{},,{}
"Sancho Valencia Casanova",9.248.617,6,sancho9795@viajes.cl,sancho7875,X46LbhfqANXg,"+56 9 5834 3380",Nocturno,Fonasa,"Part time",552368,61421,2026-03-16,1145000,5,"No disponible",38653,Segovia,Lorca,2026-06-15,2026-06-16,41,2198,229000,Amtrak,,"{Baño,Wifi,Comida,""Aire acondicionado"",Agua}",{},,"{Marbella,Badajoz}"
"Lola Delvalle Cintrón",21491445,0,LolacintrOIn@viajes.cl,lola5581,9BinvJhN,"+56 2 7792 1845",Diurno,Colmena,"Part time",552372,61421,2025-05-31,1335000,5,"No disponible",40773,Lorca,Torrelavega,2026-06-19,2026-06-20,11,2326,267000,Trenitalia,,"{Calefacción,Agua,""Aire acondicionado"",Baño,Wifi}",{},,{Majadahonda}
"Daniel Molina Tello",9815283,0,damote@viajes.cl,damote,FktqGrJsU1I,"+56 2 1130 7600",Nocturno,Consalud,"Part time",552379,68853,2025-03-27,27000,1,"No disponible",98778,"Ciudad Real",Irún,2026-07-09,2026-07-09,47,362,27000,"LATAM Airlines",,{},{},"Clase ejecutiva",{}
"Agustín Ruelas Peres",11968689,0,agrupe@viajes.cl,Agustínperes,TQNSuk7J1IlO3V,"+56 9 4528 1432",Diurno,"Más vida","Part time",552385,68853,2026-05-18,493000,1,"No disponible",38278,Irún,Badajoz,2026-07-14,2026-07-16,54,4278,493000,"Air France",,{},"{Majadahonda,Burgos}","Primera clase",{}
"Conchita Rubio Casillas",27949147,5,Conchitacasillas@viajes.cl,Conchitacasillas,5JGi8xdUUfJaD,"+56 2 4966 0130",Nocturno,"Más vida","Full time",552386,68853,2025-09-12,144000,1,"No disponible",49723,Badajoz,Torrelavega,2026-07-16,2026-07-17,81,1840,144000,"Singapore Airlines",,{},{},"Clase económica",{}
"María del Carmen Cardona Benavídez",6559483,,,,d4XG8KmRskK2,"+56 2 8690 2462",Nocturno,Colmena,"Part time",552387,67515,2025-01-16,214000,2,"No disponible",42658,"Collado Villalba",Pamplona,2025-03-16,2025-03-17,37,1916,107000,,,{},,"Clase ejecutiva",{}
"Sr. Marta Carranza Varela",22625311,4,Sr.varela@viajes.cl,sr.3268,tJ91RtOCjzfhlwi4,"+56 9 4226 5365",Diurno,Colmena,"Part time",552388,67515,2025-01-17,-290000,2,"No disponible",39924,Pamplona,Guadalajara,2025-03-17,2025-03-19,49,3089,145000,"United Airlines",,{},"{""San Cristróbal de la Laguna"",Fuenlabrada}","Clase ejecutiva",{}
"Ramona Cardenas Madera",5.091.602,2,ramona7539@viajes.cl,racama,ZPafwNe5,"+56 2 1124 0247",Nocturno,Consalud,"Full time",552391,67515,2025-03-02,566000,2,"No disponible",7307,Guadalajara,Cartagena,2025-03-21,2025-03-23,50,3185,283000,Aeroméxico,,{},{Ferrol},"Primera clase",{}
"Jacobo Borrego Castillo",18379714,0,jaboca@viajes.cl,jacobo8195,qrH5hDV0PUEpGc,"+56 2 6447 8029",Nocturno,"Más vida","Part time",552392,70267,2025-04-14,537000,3,"No disponible",64783,Benidorm,"San Sebastián",2026-01-29,2026-01-30,73,1721,179000,"Air Canada",,{},"{""Mollet del Vallés"",Puertollano}","Clase económica",{}
"Elsa Chávez Aguilera",11133673,3,Elsaaguilera@viajes.cl,Elsaaguilera,prSIfW2xtF5JW,"+56 2 5716 2003",Nocturno,Consalud,"Full time",552393,70267,2025/12/26,1185000,3,"No disponible",62367,"San Sebastián",ARRECIFE!!!,2026/01/30,2026/02/01,8,4145,395000,"Air France",,{},"{""San Sebastían de los Reyes"",""Dos Hermanas""}","Primera clase",{}
"Graciela Aponte Domínquez",6144532,3,grapdo@@viajes.cl,grapdo,RoTTx4uNpCZ1lN,+56-2-4258-0897,Diurno,Fonasa,"Full time",552394,70267,2025-05-03,531000,3,"No disponible",67246,Arrecife,COSLADA!!!,2026-02-01,2026-02-02,56,2112,177000,Vueling,,{},{},"Clase económica",{}
"Sta. Luisa Fonseca Camarillo",19978108,1,stlufoca@viajes.cl,sta.5940,Fa27jIg8g,"+56 2 8555 4412",Diurno,Colmena,"Full time",552395,63229,2025-11-23,220000,4,"No disponible",10266,Elda,Palencia,2026-05-19,2026-05-19,32,1217,55000,"El Rápido Internacional",Cama,"{Agua,TV,""Asientos reclinables""}",{},,{}
"Sra. Gabriela Bravo Montero",28581651,3,Sra.montero@viajes.cl,Sra.montero,mfU27T3eOU,"+56 9 8296 3635",Diurno,Fonasa,"Part time",552396,63229,2025-04-14,516000,4,"No disponible",38440,Palencia,Valdemoro,2026-05-19,2026-05-21,49,3616,129000,"Estrella Roja",Cama,"{""Asientos reclinables"",Calefacción,Agua}",{},,{}
"Rocio Griego Urbina",5901685,7,rocio5151@viajes.cl,Rociourbina,SjZSOffYAj4bFE9,"+56 2 9991 9417",Nocturno,"Más vida","Full time",552397,63229,2026-01-19,332000,4,"No disponible",82089,Valdemoro,Gerona,2026-05-21,2026-05-23,43,2904,83000,ADO,Cama,"{""Asientos reclinables"",Comida,Agua}",{},,{}
"Teresa Irizarry Esparza",21194180,4,teires@viajes.cl,teires,Bc0lmfTij23us5wZ,"+56 9 0750 8644",Nocturno,Banmédica,"Part time",552403,65513,2025-02-06,313000,1,"No disponible",45449,Motril,Burgos,2025-05-18,2025-05-20,59,3524,313000,"NSB (Noruega)",,"{Wifi,""Aire acondicionado"",Calefacción,Comida,Baño,Agua}",{},,"{Benalmádena,Granollers}"
"Juan Aranda Ortega",19153057,8,juaror@viajes.cl,juaror,m4iTMfSNpPKiFHBU,"+56 2 7405 1246",Nocturno,Colmena,"Part time",552408,65513,2025-02-26,159000,1,"No disponible",66583,Burgos,Bilbao,2025-05-24,2025-05-26,36,3168,159000,"ÖBB (Austria)",,"{""Asientos reclinables"",""Aire acondicionado"",TV,Calefacción,Wifi,Agua}",{},,"{Orihuela,Rivas-Vaciamadrid,Sagunto,""Alcalá de Henares""}"
"Sra. Manuela Curiel Olivo",20893842,8,Sra.olivo@viajes.ceele,srmacuol,JaCJ2nnrA2P,"+56 9 2324 4372",Nocturno,Banmédica,"Part time",552410,71465,2025-01-14,460000,10,"No disponible",10796,Santander,ELCHE!!!,2025-07-05,2025-07-05,63,195,46000,Italo,,{},{},,"{Córdoba,Bilbao}"
"Sara Vélez Gonzales",22943466,7,savOogo@viajes.cl,savégo,PnO2x8QE1o4,"+56 2 4926 1633",Diurno,Colmena,"Full time",552411,71020,2025-01-10,1740000,10,"No disponible",10855,Palencia,Barcelona,2025-02-13,2025-02-14,56,2490,174000,"RZD (Rusia)",,"{Baño,Calefacción,Agua,""Asientos reclinables"",Wifi}",{},,{}
"Rafael Corrales Griego",11042355,1,rafael3104@viajes.cl,racogr,fp80urGgQ,"+56 9 3723 0255",Diurno,"Más vida","Full time",552412,68935,2025-01-21,146000,1,"No disponible",26785,Pamplona,Orihuela,2025-04-17,2025-04-19,37,4090,146000,Megabus,Cama,"{Calefacción,TV,Wifi}",{},,{}
"Martín Escamilla Laureano",29975207,0,maesla@viajes.cl,martín862,r53eYkN11ttfQWA,"+56 2 6637 8811",Diurno,Colmena,"Full time",552413,68935,2025-01-25,54000,1,"No disponible",90822,Orihuela,Mijas,2025-04-19,2025-04-20,39,2774,54000,"El Rápido Internacional",Cama,"{TV,""Asientos reclinables"",""Aire acondicionado""}",{},,{}
"Leticia Carranza Rodrígez",28442109,4,leticia5087@viajes.cl,leticia3452,x3ZuFg69H2,"+56 2 7338 3345",Diurno,Fonasa,"Full time",552414,68935,2025-01-06,57000,1,"No disponible",4199,Mijas,Guadalajara,2025-04-20,2025-04-21,31,2668,57000,"EME Bus",Cama,"{Agua,""Asientos reclinables"",TV}",{},,{}
"Sr. Andrea Altamirano Garay",13149173,5,sranalga@viajes.cl,Sr.garay,rtILRNS45RrRr2gL,"+56 9 4036 0589",Diurno,Banmédica,"Part time",552415,62383,2025/02/25,356000,4,"No disponible",33474,Estepona,GRANOLLERS!!!,2025/10/20,2025/10/20,49,957,89000,"Omnibus de México",Cama,"{Calefacción,Baño,TV}",{},,{}
"Maricarmen Olivo Badillo",29750007,4,maricarmen7625@viajes.cl,Maricarmenbadillo,9ZUPvg2of8G5yXfv,"+56 9 6989 1905",Diurno,Banmédica,"Full time",552416,62383,2025-01-14,288000,4,"No disponible",25141,Granollers,"Palma de Mallorca",2025-10-20,2025-10-21,40,1548,72000,"Flecha Bus",Cama,"{Baño,Comida,Agua}",{},,{}
"Gregorio Alanis Rosas",9768517,7,gralro@viajes.cl,Gregoriorosas,0UK8IUphfZllX,,Diurno,Consalud,,552424,62383,2025-06-17,-564000,,"No disponible",15798,"Palma de Mallorca",Segovia,2025-10-28,2025-10-30,,3143,141000,Damas,Cama,"{Agua,TV,Wifi}",,,{}
