id,agenda_id,fecha,monto,cantidad_personas,estado_disponibilidad,puntos_booked,correo_empleado,lugar_origen,lugar_llegada,capacidad,tiempo_estimado,precio_asiento,empresa,fecha_salida,fecha_llegada,comodidades,paradas
104498,58014,2025-12-15,1432000,8,No disponible,1432,raúl9381742@viajes.cl,Oviedo,Burgos,49,2754,179000,Avanza,2026-01-14,2026-01-15,"{TV,Baño,Calefacción}",
91650,63940,2025-03-17,530000,5,No disponible,530,sr.2886831@viajes.cl,Santa Lucía de Tirajana,Majadahonda,37,1682,106000,Estrella Roja,2026-02-06,2026-02-07,"{TV,""Aire acondicionado"",""Asientos reclinables""}",
105580,63355,2025-03-25,705000,5,No disponible,705,sra.8023957@viajes.cl,Elda,Mérida,40,779,141000,Monbus,2025-07-05,2025-07-05,"{Comida,""Aire acondicionado"",Baño}",
136484,59846,2025-06-30,780000,4,No disponible,780,srnisolu819@viajes.cl,Ceuta,Alcalá de Guadaira,33,1982,195000,Primera Plus,2025-08-25,2025-08-26,"{Agua,Wifi,Calefacción}",
141211,62504,2025-08-30,133000,1,No disponible,133,sta.4527340@viajes.cl,Inca,Burgos,39,4286,133000,Buses Romani,2026-05-07,2026-05-09,"{TV,Baño,""Asientos reclinables""}",
136112,66440,2025-01-29,714000,6,No disponible,714,Carlosfierro146@viajes.cl,Sevilla,Viladecans,59,1029,119000,Qantas,2025-02-21,2025-02-21,{},
146983,,,,,Disponible,0,Elenamontemayor792@viajes.cl,Rubí,Puertollano,7,1748,196000,American Airlines,2025-11-26,2026-02-06,{},
89158,66529,2025-12-16,868000,7,No disponible,868,Fernandolomeli208@viajes.cl,Manresa,Santa Cruz de Tenerife,25,2774,124000,Delta Air Lines,2026-11-17,2026-11-18,{},
121214,61920,2025-03-13,1190000,5,No disponible,1190,Franciscoalba215@viajes.cl,Alcalá de Guadaira,La Línea de la Concepción,50,4105,238000,Iberia,2025-07-05,,{},
85323,56125,2025-02-15,385000,5,No disponible,385,Gregorionieto138@viajes.cl,San Sebastián,Valladolid,6,1178,77000,All Nippon Airways (ANA),2025-05-07,2025-05-07,{},
109222,61708,2025-02-15,2120000,5,No disponible,2120,Luisayala555@viajes.cl,Orihuela,Santa Coloma de Gramanet,85,3676,424000,,2025-04-01,2025-04-03,{},
117635,59163,2025-02-01,3105000,9,No disponible,3105,Robertosandoval817@viajes.cl,El Ejido,Móstoles,4,3619,345000,Lufthansa,2025-03-27,2025-03-29,{},
133404,58839,2025-01-15,320000,10,No disponible,320,Rosariodíaz538@viajes.cl,Castellón de la Plana,Gerona,84,172,32000,Lufthansa,2026-10-06,2026-10-06,{},
147851,,,,,Disponible,0,alfonso9925642@viajes.cl,Majadahonda,Chiclana de la Frontera,,2565,267000,Lufthansa,2025-04-02,2025-07-17,{},
83588,58673,2025-06-29,2493000,9,No disponible,2493,amalia1638984@viajes.cl,Orense,Torrevieja,86,2248,277000,Southwest Airlines,2026-11-26,2026-11-27,{},
118297,59475,2025-03-10,840000,8,No disponible,840,ana1890804@viajes.cl,Torrevieja,La Línea de la Concepción,32,724,105000,Aeroméxico,2025-03-16,2025-03-16,{},
107022,57203,2025-09-05,660000,2,No disponible,660,angoac972@viajes.cl,Orihuela,Cádiz,17,3564,330000,Spirit Airlines,2025-11-06,2025-11-08,{},
147789,,,,,Disponible,0,arabma748@viajes.cl,Murcia,Segovia,58,3534,287000,Delta Air Lines,2025-09-29,2026-02-23,{},
86248,57991,2025-01-06,180000,10,No disponible,180,bepaba265@viajes.cl,Zamora,Benalmádena,97,535,18000,Alaska Airlines,2026-02-09,2026-02-09,{},
94093,57118,2025-06-09,2970000,6,No disponible,2970,huciap119@viajes.cl,Motril,Zamora,23,4255,495000,Qantas,2026-09-08,2026-09-10,{},
147242,,,,,Disponible,0,jamava511@viajes.cl,Estepona,Sevilla,23,1090,65000,Lufthansa,2026-02-02,2026-03-19,{},
147370,,,,,Disponible,0,joedmopo307@viajes.cl,Palencia,Rivas-Vaciamadrid,56,3046,145000,EasyJet,2025-04-22,2025-08-26,{},
93452,60352,2025-01-09,260000,2,No disponible,260,jomacaol823@viajes.cl,Lérida,Calahorra,16,595,130000,WestJet,2025-02-08,2025-02-08,{},
99104,56691,2025-03-10,400000,2,No disponible,400,olivia854628@viajes.cl,Lérida,Zaragoza,77,1963,200000,JetBlue,2025-07-23,2025-07-24,{},
147991,,,,,Disponible,0,picaba895@viajes.cl,Vitoria,Paterna,48,4012,430000,Ethiopian Airlines,2025-04-14,2025-09-28,{},
147656,,,,,Disponible,0,rigipa534@viajes.cl,Sagunto,Alcalá de Henares,57,2151,126000,British Airways,2026-05-23,2026-08-20,{},
147284,,,,,Disponible,0,sr.8656807@viajes.cl,San Sebastían de los Reyes,El Puerto de Santa María,45,980,54000,United Airlines,2025-12-25,2026-02-03,{},
86848,62303,2025-06-30,162000,6,No disponible,162,sralbabu154@viajes.cl,Sanlúcar de Barrameda,Rivas-Vaciamadrid,57,417,27000,EasyJet,2026-06-09,2026-06-09,{},
94942,58022,2025-03-02,1060000,10,No disponible,1060,srgepili368@viajes.cl,Burgos,Alcorcón,87,2128,106000,Frontier Airlines,2025-03-23,2025-03-24,{},
147823,,,,,Disponible,0,srluququ687@viajes.cl,Torrelavega,Ceuta,89,596,68000,,2025-08-03,2025-08-27,{},
136112,66440,2025-01-29,714000,6,No disponible,714,Carlosfierro146@viajes.cl,Sevilla,Viladecans,59,1029,119000,Qantas,2025-02-21,2025-02-21,{},
146983,,,,,Disponible,0,Elenamontemayor792@viajes.cl,Rubí,Puertollano,7,1748,196000,American Airlines,2025-11-26,2026-02-06,{},
89158,66529,2025-12-16,868000,7,No disponible,868,Fernandolomeli208@viajes.cl,Manresa,Santa Cruz de Tenerife,25,2774,124000,Delta Air Lines,2026-11-17,2026-11-18,{},
121214,61920,2025-03-13,1190000,5,No disponible,1190,Franciscoalba215@viajes.cl,Alcalá de Guadaira,La Línea de la Concepción,50,4105,238000,Iberia,2025-07-05,,{},
85323,56125,2025-02-15,385000,5,No disponible,385,Gregorionieto138@viajes.cl,San Sebastián,Valladolid,6,1178,77000,All Nippon Airways (ANA),2025-05-07,2025-05-07,{},
109222,61708,2025-02-15,2120000,5,No disponible,2120,Luisayala555@viajes.cl,Orihuela,Santa Coloma de Gramanet,85,3676,424000,,2025-04-01,2025-04-03,{},
117635,59163,2025-02-01,3105000,9,No disponible,3105,Robertosandoval817@viajes.cl,El Ejido,Móstoles,4,3619,345000,Lufthansa,2025-03-27,2025-03-29,{},
133404,58839,2025-01-15,320000,10,No disponible,320,Rosariodíaz538@viajes.cl,Castellón de la Plana,Gerona,84,172,32000,Lufthansa,2026-10-06,2026-10-06,{},
147851,,,,,Disponible,0,alfonso9925642@viajes.cl,Majadahonda,Chiclana de la Frontera,,2565,267000,Lufthansa,2025-04-02,2025-07-17,{},
83588,58673,2025-06-29,2493000,9,No disponible,2493,amalia1638984@viajes.cl,Orense,Torrevieja,86,2248,277000,Southwest Airlines,2026-11-26,2026-11-27,{},
118297,59475,2025-03-10,840000,8,No disponible,840,ana1890804@viajes.cl,Torrevieja,La Línea de la Concepción,32,724,105000,Aeroméxico,2025-03-16,2025-03-16,{},
107022,57203,2025-09-05,660000,2,No disponible,660,angoac972@viajes.cl,Orihuela,Cádiz,17,3564,330000,Spirit Airlines,2025-11-06,2025-11-08,{},
147789,,,,,Disponible,0,arabma748@viajes.cl,Murcia,Segovia,58,3534,287000,Delta Air Lines,2025-09-29,2026-02-23,{},
86248,57991,2025-01-06,180000,10,No disponible,180,bepaba265@viajes.cl,Zamora,Benalmádena,97,535,18000,Alaska Airlines,2026-02-09,2026-02-09,{},
94093,57118,2025-06-09,2970000,6,No disponible,2970,huciap119@viajes.cl,Motril,Zamora,23,4255,495000,Qantas,2026-09-08,2026-09-10,{},
147242,,,,,Disponible,0,jamava511@viajes.cl,Estepona,Sevilla,23,1090,65000,Lufthansa,2026-02-02,2026-03-19,{},
147370,,,,,Disponible,0,joedmopo307@viajes.cl,Palencia,Rivas-Vaciamadrid,56,3046,145000,EasyJet,2025-04-22,2025-08-26,{},
93452,60352,2025-01-09,260000,2,No disponible,260,jomacaol823@viajes.cl,Lérida,Calahorra,16,595,130000,WestJet,2025-02-08,2025-02-08,{},
99104,56691,2025-03-10,400000,2,No disponible,400,olivia854628@viajes.cl,Lérida,Zaragoza,77,1963,200000,JetBlue,2025-07-23,2025-07-24,{},
147991,,,,,Disponible,0,picaba895@viajes.cl,Vitoria,Paterna,48,4012,430000,Ethiopian Airlines,2025-04-14,2025-09-28,{},
147656,,,,,Disponible,0,rigipa534@viajes.cl,Sagunto,Alcalá de Henares,57,2151,126000,British Airways,2026-05-23,2026-08-20,{},
147284,,,,,Disponible,0,sr.8656807@viajes.cl,San Sebastían de los Reyes,El Puerto de Santa María,45,980,54000,United Airlines,2025-12-25,2026-02-03,{},
86848,62303,2025-06-30,162000,6,No disponible,162,sralbabu154@viajes.cl,Sanlúcar de Barrameda,Rivas-Vaciamadrid,57,417,27000,EasyJet,2026-06-09,2026-06-09,{},
94942,58022,2025-03-02,1060000,10,No disponible,1060,srgepili368@viajes.cl,Burgos,Alcorcón,87,2128,106000,Frontier Airlines,2025-03-23,2025-03-24,{},
147823,,,,,Disponible,0,srluququ687@viajes.cl,Torrelavega,Ceuta,89,596,68000,,2025-08-03,2025-08-27,{},
